"IDalt","Buffer","MeanDist","MedianDist","NumLines","TotalLength_m","Notes"
4162,"20km",16391.1365392919,15906.4959585247,492,958201,"Full group used"
529,"20km",17763.6481592464,17559.7838773377,261,745509,"Full group used"
2531,"20km",17743.6049038004,18014.0197599481,219,775110,"Full group used"
4042,"20km",17318.6396562707,16952.955797111,221,720104,"Full group used"
4043,"20km",17318.6396562707,16952.955797111,221,720104,"Full group used"
4057,"20km",18204.2592043869,17938.2150097203,245,817173,"Full group used"
4058,"20km",18204.2592043869,17938.2150097203,245,817173,"Full group used"
4070,"20km",16762.6261558709,16535.6752390976,279,857780,"Full group used"
4071,"20km",16762.6261558709,16535.6752390976,279,857780,"Full group used"
4076,"20km",16860.1467383958,16540.8865919545,248,832873,"Full group used"
4079,"20km",17804.6711008373,17481.6640401866,282,785122,"Full group used"
4080,"20km",17804.6711008373,17481.6640401866,282,785122,"Full group used"
4081,"20km",17318.6396562707,16952.955797111,221,720104,"Full group used"
4096,"20km",18204.2526892271,17938.2150097203,245,817173,"Full group used"
4135,"20km",17312.3503206944,17074.4464881144,236,790363,"Full group used"
4160,"20km",16860.1467383958,16540.8865919545,248,832873,"Full group used"
4161,"20km",17804.6711008373,17481.6640401866,282,785122,"Full group used"
4163,"20km",18204.2526892271,17938.2150097203,245,817173,"Full group used"
3646,"20km",16613.0031778759,16147.5097299724,317,772384,"Full group used"
3775,"20km",16613.0031778759,16147.5097299724,317,772384,"Full group used"
3854,"20km",16661.2108377304,16208.7214425389,318,774257,"Full group used"
3855,"20km",16661.2108377304,16208.7214425389,318,774257,"Full group used"
3856,"20km",16661.2108377304,16208.7214425389,318,774257,"Full group used"
4052,"20km",17406.8395841723,17223.0463596163,236,815196,"Full group used"
4053,"20km",18323.7730496507,18337.2582241297,279,726966,"Full group used"
4059,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4060,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4062,"20km",18323.7730496507,18337.2582241297,279,726966,"Full group used"
4106,"20km",17406.8393509661,17223.0463596163,236,815196,"Full group used"
4107,"20km",17406.8393509661,17223.0463596163,236,815196,"Full group used"
4108,"20km",17406.8393509661,17223.0463596163,236,815196,"Full group used"
4117,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4118,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4119,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4120,"20km",17448.0303116287,17206.9979816925,200,693532,"Full group used"
4121,"20km",18323.7867447733,18337.2582241297,279,726966,"Full group used"
4166,"20km",18323.7867447733,18337.2582241297,279,726966,"Full group used"
4167,"20km",18323.7867447733,18337.2582241297,279,726966,"Full group used"
304,"20km",17228.5992792796,16941.6050817336,915,962249,"Full group used"
558,"20km",17368.7267301789,16996.2502689128,881,943056,"Full group used"
2107,"20km",17773.6388592495,17524.631294505,925,955099,"Full group used"
17,"20km",17263.9473317467,16868.3012118354,901,1038028,"Full group used"
1262,"20km",17263.9473317467,16868.3012118354,901,1038028,"Full group used"
1375,"20km",17114.1683470172,16677.3379618404,743,924138,"Full group used"
1570,"20km",16936.3635111913,16586.4899230607,877,1009339,"Full group used"
2007,"20km",16633.8731928197,16186.1442235206,743,938323,"Full group used"
2142,"20km",17094.2901694195,16750.1082016405,716,981129,"Full group used"
2239,"20km",17158.2928512589,16695.2325390315,810,925687,"Full group used"
3299,"20km",16637.0302353183,16024.8209679048,616,832328,"Full group used"
151,"20km",13999.2078098957,13480.186427624,689,778294,"Full group used"
952,"20km",11602.6646195925,10406.4442101763,696,542329,"Full group used"
2119,"20km",17281.7059247408,16981.0104783458,631,902219,"Full group used"
3264,"20km",17240.7133930591,17307.5570191771,904,927019,"Full group used"
3265,"20km",17240.7133930591,17307.5570191771,904,927019,"Full group used"
3266,"20km",17240.7133930591,17307.5570191771,904,927019,"Full group used"
3267,"20km",17240.7133930591,17307.5570191771,904,927019,"Full group used"
3268,"20km",16438.5643559864,16133.3420378142,880,827171,"Full group used"
3269,"20km",16438.5643559864,16133.3420378142,880,827171,"Full group used"
3270,"20km",16438.5643559864,16133.3420378142,880,827171,"Full group used"
3271,"20km",16438.5643559864,16133.3420378142,880,827171,"Full group used"
3272,"20km",16438.5643559864,16133.3420378142,880,827171,"Full group used"
226,"20km",15905.3712690155,15503.9476028191,944,842569,"Full group used"
696,"20km",14977.530970852,14403.939562385,102,355697,"Full group used"
2012,"20km",17637.7767138301,17419.6889545628,655,818756,"Full group used"
2161,"20km",17247.789936276,17104.6491583429,508,797941,"Full group used"
2758,"20km",15905.3712690155,15503.9476028191,944,842569,"Full group used"
2767,"20km",13999.2078098957,13480.186427624,689,778294,"Full group used"
911,"20km",17728.4268987048,17521.7466405654,737,867420,"Full group used"
2127,"20km",15881.9225947966,15014.9903401355,391,523919,"Full group used"
